Monthly_Charge,Tenure_Months,Num_Support_Tickets,Plan_Type,Contract_Type,Customer_Feedback,Churn
146.76,39,3,Pro,One Year,Great service!,0
35.82,71,7,Pro,Two Year,Support is slow.,1
128.17,47,9,Enterprise,Month-to-Month,Great service!,0
146.76,34,2,Enterprise,One Year,I love it.,0
57.47,50,6,Basic,One Year,Great service!,0
71.93,5,2,Basic,Month-to-Month,Support is slow.,1
136.19,24,2,Pro,One Year,Great service!,0
104.56,48,5,Basic,One Year,Great service!,0
79.87,37,8,Enterprise,Month-to-Month,Keeps crashing.,1
27.36,50,5,Enterprise,One Year,Excellent features.,0
138.78,27,4,Enterprise,Two Year,Excellent features.,0
21.58,28,5,Enterprise,Two Year,Okay value.,0
35.61,68,4,Enterprise,Two Year,Too expensive.,1
94.83,16,4,Enterprise,One Year,Horrible experience.,1
94.19,47,9,Pro,Month-to-Month,Horrible experience.,1
59.65,32,7,Basic,Month-to-Month,Too expensive.,1
114.49,11,1,Basic,One Year,Okay value.,0
117.34,37,2,Pro,Two Year,I love it.,0
38.04,20,10,Pro,Month-to-Month,Too expensive.,1
113.85,26,5,Pro,Two Year,I love it.,0
108.92,66,9,Enterprise,One Year,Excellent features.,0
29.73,48,8,Basic,Month-to-Month,Great service!,0
29.26,46,7,Pro,Two Year,I love it.,0
146.15,21,3,Basic,One Year,Okay value.,0
34.99,58,1,Pro,Two Year,Okay value.,0
56.04,10,10,Pro,Month-to-Month,Excellent features.,0
122.18,50,3,Enterprise,One Year,Okay value.,0
109.24,64,8,Pro,Two Year,Excellent features.,0
128.79,44,8,Basic,One Year,Great service!,0
121.44,10,9,Pro,Month-to-Month,Horrible experience.,1
20.32,49,1,Basic,Month-to-Month,Great service!,0
107.58,50,4,Basic,Month-to-Month,Horrible experience.,1
142.32,7,0,Pro,One Year,Too expensive.,1
93.03,40,8,Pro,Two Year,Keeps crashing.,1
95.56,54,10,Pro,One Year,I love it.,0
58.06,14,4,Basic,Two Year,Too expensive.,1
41.36,53,10,Enterprise,One Year,Horrible experience.,1
102.56,68,4,Enterprise,One Year,Great service!,0
45.16,3,7,Basic,Two Year,Horrible experience.,1
84.95,54,2,Basic,Two Year,Great service!,0
88.32,6,5,Basic,One Year,Excellent features.,0
72.54,36,9,Enterprise,One Year,Okay value.,0
94.8,7,9,Pro,One Year,Horrible experience.,1
129.79,7,5,Basic,One Year,Keeps crashing.,1
59.4,31,6,Enterprise,Two Year,Excellent features.,0
138.58,57,6,Pro,Two Year,Great service!,0
84.51,25,0,Pro,One Year,Okay value.,0
27.32,30,0,Basic,Month-to-Month,I love it.,0
131.54,69,9,Basic,Month-to-Month,Keeps crashing.,1
42.96,27,1,Enterprise,One Year,I love it.,0
113.62,66,7,Basic,Month-to-Month,Keeps crashing.,1
96.41,64,9,Enterprise,One Year,I love it.,0
110.1,54,4,Basic,One Year,Great service!,0
69.09,65,3,Pro,One Year,Okay value.,0
66.17,24,4,Enterprise,One Year,Too expensive.,1
122.08,64,10,Enterprise,One Year,Excellent features.,0
124.18,39,0,Enterprise,Two Year,Great service!,0
29.28,15,6,Enterprise,Month-to-Month,Horrible experience.,1
33.12,15,8,Basic,One Year,I love it.,0
107.11,27,0,Pro,One Year,Okay value.,0
138.62,37,8,Pro,Two Year,Excellent features.,0
96.1,45,6,Enterprise,One Year,Support is slow.,1
89.05,40,5,Basic,Month-to-Month,Great service!,0
144.22,47,3,Basic,Month-to-Month,Support is slow.,1
62.4,48,1,Enterprise,Two Year,Excellent features.,0
112.92,69,0,Basic,Two Year,I love it.,0
132.06,71,10,Pro,Two Year,Okay value.,0
64.05,63,8,Enterprise,Month-to-Month,Okay value.,0
146.43,62,4,Basic,One Year,Horrible experience.,1
89.02,44,1,Basic,Two Year,Okay value.,0
29.83,19,0,Pro,Month-to-Month,Okay value.,0
149.22,19,3,Enterprise,Two Year,Excellent features.,0
63.93,69,8,Basic,Month-to-Month,I love it.,0
105.06,10,10,Pro,Two Year,Horrible experience.,1
63.88,21,9,Enterprise,One Year,Horrible experience.,1
105.41,33,6,Enterprise,Two Year,Great service!,0
94.22,8,4,Enterprise,One Year,Support is slow.,1
47.85,67,4,Basic,Month-to-Month,Support is slow.,1
49.35,31,6,Pro,Month-to-Month,Great service!,0
84.4,56,0,Pro,One Year,Great service!,0
49.34,17,4,Pro,One Year,Excellent features.,0
141.09,42,4,Enterprise,Month-to-Month,Horrible experience.,1
96.11,25,4,Basic,Month-to-Month,Great service!,0
107.43,32,5,Enterprise,Month-to-Month,Keeps crashing.,1
67.82,31,8,Enterprise,Two Year,Support is slow.,1
119.21,4,3,Pro,Two Year,Great service!,0
97.74,46,9,Enterprise,Month-to-Month,Horrible experience.,1
44.21,22,7,Basic,One Year,Too expensive.,1
103.01,51,2,Pro,Two Year,Okay value.,0
103.55,37,6,Pro,Two Year,Okay value.,0
64.1,7,4,Basic,Two Year,I love it.,0
94.69,9,4,Basic,One Year,Keeps crashing.,1
145.68,44,9,Enterprise,One Year,Excellent features.,0
26.82,70,0,Enterprise,Month-to-Month,Excellent features.,0
84.19,31,1,Basic,One Year,Great service!,0
77.96,44,2,Basic,Two Year,I love it.,0
69.45,11,6,Pro,One Year,Support is slow.,1
61.51,19,8,Enterprise,Two Year,Okay value.,0
54.68,48,9,Pro,One Year,Too expensive.,1
132.75,61,10,Pro,Two Year,Great service!,0
140.03,16,10,Enterprise,Month-to-Month,Too expensive.,1
119.28,17,5,Enterprise,One Year,I love it.,0
92.55,31,7,Pro,One Year,Great service!,0
70.7,67,5,Enterprise,Two Year,Great service!,0
128.59,19,3,Enterprise,Two Year,Too expensive.,1
47.96,58,0,Pro,Month-to-Month,I love it.,0
126.8,47,3,Pro,One Year,I love it.,0
129.11,8,3,Pro,One Year,Great service!,0
42.16,30,8,Basic,Two Year,Excellent features.,0
38.49,56,0,Pro,Month-to-Month,Too expensive.,1
100.84,7,1,Enterprise,Month-to-Month,Keeps crashing.,1
40.51,48,9,Basic,One Year,Keeps crashing.,1
26.02,50,2,Pro,One Year,Great service!,0
71.64,25,3,Basic,Two Year,Excellent features.,0
103.06,13,0,Pro,One Year,Great service!,0
85.97,55,3,Enterprise,One Year,Great service!,0
39.2,43,1,Pro,Month-to-Month,I love it.,0
40.45,41,0,Basic,Month-to-Month,Excellent features.,0
146.84,12,1,Basic,Month-to-Month,Support is slow.,1
56.09,49,7,Pro,One Year,Okay value.,0
128.73,17,7,Basic,Month-to-Month,I love it.,0
106.14,58,9,Enterprise,Two Year,Okay value.,0
20.51,28,6,Enterprise,Two Year,Okay value.,0
54.01,14,10,Basic,Month-to-Month,Support is slow.,1
131.37,4,8,Basic,One Year,Support is slow.,1
46.85,17,9,Basic,One Year,Okay value.,0
60.72,55,2,Enterprise,One Year,Okay value.,0
23.12,11,10,Pro,Two Year,Okay value.,0
48.19,9,6,Enterprise,Month-to-Month,Keeps crashing.,1
122.77,40,4,Basic,Two Year,Great service!,0
131.18,20,10,Basic,Month-to-Month,Support is slow.,1
71.53,16,4,Pro,Month-to-Month,Great service!,0
45.22,3,10,Pro,One Year,Support is slow.,1
81.58,47,10,Enterprise,Month-to-Month,Keeps crashing.,1
70.93,33,0,Basic,Month-to-Month,Okay value.,0
112.46,27,2,Basic,Month-to-Month,Okay value.,0
86.15,60,3,Pro,One Year,Okay value.,0
72.63,26,9,Basic,One Year,I love it.,0
58.93,61,4,Basic,Month-to-Month,Support is slow.,1
89.74,60,9,Basic,Month-to-Month,Horrible experience.,1
75.31,10,3,Pro,Month-to-Month,Keeps crashing.,1
38.53,4,0,Pro,One Year,Okay value.,0
83.12,12,4,Pro,Two Year,Keeps crashing.,1
36.44,10,9,Pro,Month-to-Month,Horrible experience.,1
57.88,47,2,Pro,Two Year,Great service!,0
101.7,46,7,Basic,Two Year,Excellent features.,0
107.25,57,7,Basic,Month-to-Month,Too expensive.,1
57.85,22,4,Enterprise,Month-to-Month,Great service!,0
141.52,31,2,Enterprise,Month-to-Month,Excellent features.,0
33.77,54,1,Enterprise,One Year,Excellent features.,0
98.59,41,5,Enterprise,Month-to-Month,Horrible experience.,1
137.8,19,5,Basic,Two Year,I love it.,0
31.63,28,3,Pro,Month-to-Month,Excellent features.,0
85.9,54,10,Basic,One Year,Excellent features.,0
123.58,4,4,Pro,Month-to-Month,Support is slow.,1
52.93,63,9,Enterprise,One Year,I love it.,0
112.09,20,9,Basic,Two Year,Too expensive.,1
42.75,13,4,Basic,Two Year,Great service!,0
80.25,13,9,Enterprise,One Year,Horrible experience.,1
90.69,2,6,Basic,One Year,Horrible experience.,1
46.96,62,3,Enterprise,Month-to-Month,Horrible experience.,1
127.26,71,1,Basic,Two Year,Excellent features.,0
58.45,4,1,Pro,Two Year,Excellent features.,0
30.79,43,1,Pro,One Year,Excellent features.,0
146.64,26,10,Basic,One Year,Excellent features.,0
29.66,24,6,Pro,Month-to-Month,Too expensive.,1
36.59,19,6,Pro,Month-to-Month,Okay value.,0
145.45,49,10,Pro,Two Year,I love it.,0
99.77,53,4,Basic,Two Year,I love it.,0
58.65,44,7,Pro,One Year,Great service!,0
88.46,60,6,Basic,One Year,Great service!,0
104.12,30,8,Pro,One Year,Horrible experience.,1
140.8,50,2,Pro,Two Year,Okay value.,0
101.09,35,10,Pro,Two Year,Great service!,0
51.3,43,5,Enterprise,One Year,Keeps crashing.,1
32.75,65,5,Pro,Two Year,Great service!,0
34.36,48,2,Pro,Month-to-Month,Great service!,0
127.45,33,6,Basic,One Year,Great service!,0
20.74,66,0,Pro,One Year,I love it.,0
67.08,63,4,Basic,Two Year,Excellent features.,0
124.41,30,4,Basic,Two Year,Great service!,0
96.82,70,10,Basic,Month-to-Month,Horrible experience.,1
63.87,5,10,Enterprise,Two Year,Excellent features.,0
60.24,14,7,Basic,Two Year,Too expensive.,1
66.66,27,1,Enterprise,Two Year,I love it.,0
144.34,57,3,Enterprise,Month-to-Month,Excellent features.,0
136.64,45,5,Basic,Two Year,Great service!,0
85.22,28,0,Enterprise,Month-to-Month,Keeps crashing.,1
92.76,61,1,Basic,Two Year,Great service!,0
84.37,8,9,Enterprise,One Year,Great service!,0
59.05,11,6,Pro,Month-to-Month,Support is slow.,1
98.33,63,1,Pro,Two Year,Excellent features.,0
40.28,4,2,Pro,One Year,Excellent features.,0
102.0,57,0,Enterprise,Two Year,Great service!,0
98.77,71,6,Basic,Month-to-Month,Horrible experience.,1
104.7,16,3,Enterprise,Two Year,Great service!,0
124.15,72,3,Basic,One Year,Okay value.,0
99.84,26,7,Basic,Month-to-Month,Support is slow.,1
87.29,47,8,Basic,One Year,Horrible experience.,1
32.38,28,8,Enterprise,Month-to-Month,Support is slow.,1
143.25,40,0,Enterprise,Month-to-Month,Excellent features.,0
133.42,10,10,Pro,One Year,Too expensive.,1
41.84,33,4,Enterprise,Two Year,Excellent features.,0
103.81,37,7,Basic,Month-to-Month,Keeps crashing.,1
114.34,14,10,Pro,Two Year,I love it.,0
147.9,46,3,Pro,Two Year,Excellent features.,0
88.0,25,6,Pro,One Year,Horrible experience.,1
96.39,72,5,Enterprise,One Year,I love it.,0
104.84,56,7,Enterprise,One Year,I love it.,0
138.69,29,9,Basic,Two Year,Okay value.,0
137.13,24,2,Enterprise,One Year,Great service!,0
32.8,26,5,Enterprise,One Year,Excellent features.,0
149.66,20,4,Enterprise,Month-to-Month,Horrible experience.,1
29.36,59,0,Enterprise,Month-to-Month,Okay value.,0
70.53,10,7,Enterprise,Month-to-Month,Too expensive.,1
79.0,60,7,Enterprise,Two Year,Great service!,0
41.34,16,7,Pro,One Year,Too expensive.,1
73.62,32,8,Basic,Month-to-Month,Excellent features.,0
39.53,8,4,Basic,One Year,Horrible experience.,1
135.78,71,4,Basic,One Year,Support is slow.,1
97.98,63,3,Basic,Two Year,Okay value.,0
98.13,3,9,Enterprise,One Year,I love it.,0
138.58,50,7,Basic,Month-to-Month,Keeps crashing.,1
72.07,58,0,Enterprise,Two Year,I love it.,0
74.94,67,4,Enterprise,Two Year,Support is slow.,1
143.58,67,6,Basic,Month-to-Month,Support is slow.,1
135.28,18,5,Basic,Month-to-Month,Too expensive.,1
120.77,70,6,Basic,One Year,Okay value.,0
64.71,15,5,Pro,Two Year,Okay value.,0
86.31,55,1,Pro,Month-to-Month,Horrible experience.,1
27.96,15,0,Pro,One Year,I love it.,0
98.09,22,2,Basic,Month-to-Month,Too expensive.,1
53.55,38,1,Basic,One Year,I love it.,0
94.96,48,4,Basic,One Year,Excellent features.,0
113.14,7,10,Basic,Month-to-Month,Too expensive.,1
31.87,51,6,Pro,Two Year,Horrible experience.,1
108.01,50,9,Pro,One Year,Support is slow.,1
107.9,32,9,Basic,Two Year,I love it.,0
57.44,33,8,Enterprise,One Year,Okay value.,0
133.2,25,9,Basic,Month-to-Month,Keeps crashing.,1
71.06,53,6,Pro,Two Year,Great service!,0
130.27,6,8,Enterprise,One Year,Keeps crashing.,1
111.13,51,5,Enterprise,Two Year,Excellent features.,0
77.3,31,8,Basic,Two Year,Great service!,0
81.22,61,1,Pro,One Year,Excellent features.,0
106.6,68,9,Pro,Month-to-Month,Excellent features.,0
45.38,50,0,Pro,One Year,Excellent features.,0
87.52,4,7,Pro,One Year,Horrible experience.,1
112.41,30,6,Basic,Month-to-Month,Too expensive.,1
21.2,37,3,Enterprise,Two Year,Excellent features.,0
46.43,65,6,Enterprise,Month-to-Month,Too expensive.,1
69.53,55,8,Pro,One Year,Okay value.,0
80.72,57,8,Enterprise,One Year,Keeps crashing.,1
62.42,59,0,Pro,Two Year,Great service!,0
99.29,47,8,Pro,One Year,Horrible experience.,1
134.81,49,10,Basic,One Year,Excellent features.,0
111.39,6,0,Basic,Two Year,Great service!,0
81.83,18,7,Basic,Two Year,Keeps crashing.,1
34.78,23,2,Pro,Month-to-Month,I love it.,0
117.42,67,10,Basic,Month-to-Month,Great service!,0
80.07,5,3,Enterprise,One Year,Okay value.,0
52.04,59,10,Enterprise,One Year,Okay value.,0
127.57,68,2,Pro,Two Year,Great service!,0
94.78,66,4,Basic,Month-to-Month,Horrible experience.,1
130.29,62,1,Basic,One Year,I love it.,0
53.64,36,8,Pro,One Year,Too expensive.,1
113.39,17,2,Enterprise,Month-to-Month,Horrible experience.,1
100.86,30,7,Enterprise,Two Year,Excellent features.,0
85.26,50,8,Basic,Month-to-Month,Great service!,0
145.44,14,10,Pro,Month-to-Month,Support is slow.,1
110.38,30,1,Basic,Two Year,I love it.,0
94.96,71,9,Basic,Month-to-Month,Excellent features.,0
113.83,18,4,Basic,Month-to-Month,Keeps crashing.,1
120.83,47,10,Enterprise,One Year,I love it.,0
124.49,67,8,Enterprise,Two Year,Excellent features.,0
107.16,7,5,Basic,Month-to-Month,Support is slow.,1
86.98,51,5,Basic,Two Year,I love it.,0
91.8,7,1,Enterprise,Two Year,Great service!,0
145.03,47,8,Pro,Month-to-Month,Great service!,0
62.89,1,1,Basic,Two Year,Excellent features.,0
71.58,3,6,Enterprise,Month-to-Month,Okay value.,0
59.26,70,0,Pro,One Year,Great service!,0
55.74,37,2,Basic,Month-to-Month,Great service!,0
20.06,29,4,Pro,Month-to-Month,Horrible experience.,1
78.95,46,10,Basic,Two Year,Excellent features.,0
125.4,43,6,Pro,One Year,Okay value.,0
133.77,14,1,Basic,Month-to-Month,Horrible experience.,1
24.72,69,7,Enterprise,One Year,Excellent features.,0
127.27,38,5,Basic,One Year,Great service!,0
143.94,27,5,Enterprise,Two Year,Great service!,0
133.74,72,1,Basic,One Year,Excellent features.,0
28.85,39,2,Pro,Month-to-Month,Great service!,0
110.78,12,8,Basic,Two Year,Too expensive.,1
121.1,44,4,Pro,Two Year,Great service!,0
77.91,49,3,Pro,Month-to-Month,Excellent features.,0
124.5,4,10,Enterprise,Month-to-Month,Okay value.,0
121.0,34,8,Basic,One Year,Excellent features.,0
91.12,38,9,Basic,Month-to-Month,Horrible experience.,1
34.71,9,7,Pro,Two Year,Keeps crashing.,1
67.72,54,7,Enterprise,One Year,Keeps crashing.,1
31.53,6,6,Basic,Two Year,Keeps crashing.,1
118.47,62,6,Basic,Month-to-Month,Support is slow.,1
39.62,33,4,Basic,One Year,Horrible experience.,1
102.76,9,8,Basic,Two Year,I love it.,0
79.33,44,2,Enterprise,Month-to-Month,Okay value.,0
130.72,38,1,Pro,One Year,Great service!,0
88.96,59,1,Basic,Two Year,Excellent features.,0
108.55,60,5,Basic,Two Year,Great service!,0
113.66,30,5,Basic,Month-to-Month,Support is slow.,1
44.84,12,2,Basic,One Year,I love it.,0
138.37,58,0,Basic,Two Year,Okay value.,0
46.61,33,6,Enterprise,Month-to-Month,Great service!,0
142.03,49,6,Pro,Two Year,Support is slow.,1
122.47,51,3,Pro,Two Year,Okay value.,0
48.04,7,3,Basic,Two Year,Okay value.,0
57.96,28,6,Enterprise,One Year,Support is slow.,1
80.66,67,3,Enterprise,Two Year,I love it.,0
97.43,46,6,Pro,Month-to-Month,Horrible experience.,1
71.98,13,4,Pro,Two Year,Excellent features.,0
88.66,45,9,Enterprise,One Year,I love it.,0
92.51,48,2,Enterprise,One Year,Okay value.,0
105.2,12,7,Basic,One Year,I love it.,0
90.44,68,8,Enterprise,One Year,Support is slow.,1
122.28,20,3,Enterprise,Month-to-Month,Excellent features.,0
21.54,48,3,Pro,One Year,I love it.,0
112.12,20,9,Enterprise,One Year,Keeps crashing.,1
44.27,12,0,Enterprise,Two Year,Great service!,0
70.58,43,1,Enterprise,Month-to-Month,Okay value.,0
102.61,34,9,Enterprise,Month-to-Month,Keeps crashing.,1
36.26,33,5,Pro,Two Year,Keeps crashing.,1
102.18,21,6,Basic,Two Year,Excellent features.,0
141.81,32,2,Pro,Month-to-Month,Great service!,0
80.25,3,4,Basic,One Year,Excellent features.,0
127.7,44,0,Enterprise,Month-to-Month,I love it.,0
68.29,7,6,Enterprise,Two Year,Horrible experience.,1
87.72,55,9,Pro,Two Year,Great service!,0
42.65,40,1,Basic,Month-to-Month,I love it.,0
108.38,48,6,Basic,Month-to-Month,Support is slow.,1
34.96,44,5,Enterprise,Two Year,Support is slow.,1
82.78,9,5,Basic,One Year,I love it.,0
122.49,23,3,Pro,Month-to-Month,Keeps crashing.,1
130.72,51,9,Pro,Two Year,Excellent features.,0
118.34,54,7,Pro,Two Year,Great service!,0
62.01,11,3,Enterprise,One Year,Keeps crashing.,1
122.53,60,5,Basic,Two Year,Horrible experience.,1
80.35,13,2,Enterprise,Month-to-Month,I love it.,0
100.41,64,5,Pro,Two Year,Support is slow.,1
47.69,50,0,Pro,One Year,Excellent features.,0
58.14,41,7,Enterprise,Two Year,I love it.,0
56.71,58,8,Pro,Two Year,Great service!,0
67.8,4,0,Basic,Month-to-Month,Keeps crashing.,1
102.72,27,7,Enterprise,One Year,Okay value.,0
123.73,26,0,Basic,Month-to-Month,Excellent features.,0
69.84,66,4,Basic,One Year,Too expensive.,1
56.58,55,2,Enterprise,Month-to-Month,Keeps crashing.,1
35.38,7,3,Basic,Month-to-Month,Support is slow.,1
90.01,15,5,Basic,One Year,Keeps crashing.,1
60.18,19,1,Basic,One Year,Okay value.,0
91.27,58,6,Pro,Two Year,Horrible experience.,1
49.35,47,10,Pro,Month-to-Month,Okay value.,0
131.65,24,7,Enterprise,Month-to-Month,Okay value.,0
50.37,59,6,Enterprise,One Year,Support is slow.,1
118.04,68,10,Pro,Two Year,Excellent features.,0
109.93,30,10,Enterprise,Two Year,Excellent features.,0
54.48,14,0,Pro,One Year,I love it.,0
36.11,48,10,Pro,Two Year,I love it.,0
143.45,59,8,Basic,Month-to-Month,Great service!,0
96.85,16,5,Enterprise,Month-to-Month,Too expensive.,1
46.23,61,5,Pro,Month-to-Month,Horrible experience.,1
66.69,20,1,Basic,Two Year,Okay value.,0
105.99,2,4,Basic,One Year,Too expensive.,1
73.04,2,7,Basic,Month-to-Month,Keeps crashing.,1
56.75,72,6,Pro,Two Year,Okay value.,0
139.38,14,10,Pro,Two Year,Support is slow.,1
78.06,54,0,Pro,Two Year,I love it.,0
21.75,51,5,Enterprise,One Year,Too expensive.,1
122.69,71,3,Pro,Month-to-Month,Too expensive.,1
135.91,44,4,Enterprise,Month-to-Month,Great service!,0
24.45,65,0,Pro,One Year,Okay value.,0
143.01,3,10,Pro,One Year,Excellent features.,0
27.24,57,10,Basic,Two Year,Great service!,0
87.85,35,0,Pro,Two Year,Excellent features.,0
115.45,53,9,Pro,Two Year,Great service!,0
63.68,1,1,Basic,One Year,Excellent features.,0
136.62,63,0,Pro,Two Year,Okay value.,0
149.36,67,9,Enterprise,Month-to-Month,Horrible experience.,1
35.77,13,1,Pro,Two Year,Great service!,0
48.75,1,10,Pro,One Year,Keeps crashing.,1
91.86,47,3,Basic,One Year,Okay value.,0
134.08,6,4,Pro,Month-to-Month,Great service!,0
79.98,22,7,Pro,One Year,Horrible experience.,1
52.61,49,2,Pro,Month-to-Month,Keeps crashing.,1
94.4,35,8,Basic,Two Year,Excellent features.,0
129.76,20,7,Basic,Month-to-Month,Too expensive.,1
65.34,40,2,Pro,One Year,Great service!,0
125.8,5,5,Pro,One Year,Support is slow.,1
113.94,31,8,Enterprise,Month-to-Month,Keeps crashing.,1
39.71,30,3,Pro,One Year,I love it.,0
74.45,72,3,Pro,Two Year,Great service!,0
85.43,57,8,Enterprise,One Year,Keeps crashing.,1
125.64,43,5,Basic,Month-to-Month,Too expensive.,1
78.46,40,7,Basic,Month-to-Month,I love it.,0
129.18,43,8,Pro,One Year,Too expensive.,1
38.6,15,4,Pro,Two Year,I love it.,0
141.83,11,4,Basic,One Year,Excellent features.,0
66.48,71,1,Basic,Two Year,Great service!,0
122.59,28,6,Enterprise,Month-to-Month,Great service!,0
111.59,72,2,Basic,One Year,Okay value.,0
100.97,36,2,Pro,Two Year,Great service!,0
46.01,28,8,Enterprise,Two Year,Excellent features.,0
65.09,45,3,Pro,One Year,I love it.,0
148.11,46,10,Pro,Two Year,Great service!,0
29.23,61,6,Basic,Two Year,Excellent features.,0
71.74,23,3,Pro,Month-to-Month,Horrible experience.,1
21.77,58,7,Enterprise,One Year,Support is slow.,1
93.8,47,4,Enterprise,One Year,I love it.,0
101.0,20,5,Enterprise,Month-to-Month,Okay value.,0
28.52,52,10,Pro,Two Year,Okay value.,0
131.45,1,6,Enterprise,Month-to-Month,Support is slow.,1
30.74,20,2,Pro,Two Year,Great service!,0
78.57,41,4,Basic,Two Year,Okay value.,0
41.58,18,10,Enterprise,One Year,Excellent features.,0
108.41,9,1,Basic,Two Year,Okay value.,0
52.88,54,9,Basic,Two Year,Keeps crashing.,1
50.14,54,5,Pro,Month-to-Month,Keeps crashing.,1
149.02,3,10,Pro,Two Year,Great service!,0
138.61,54,1,Enterprise,One Year,Excellent features.,0
100.73,59,3,Enterprise,Month-to-Month,Okay value.,0
101.95,5,10,Enterprise,Two Year,Keeps crashing.,1
126.01,15,0,Enterprise,Two Year,I love it.,0
65.51,1,1,Enterprise,Month-to-Month,Horrible experience.,1
75.66,6,0,Enterprise,Two Year,Okay value.,0
97.26,45,4,Basic,One Year,Horrible experience.,1
105.1,33,9,Basic,One Year,Support is slow.,1
21.14,3,7,Pro,One Year,Horrible experience.,1
77.76,4,4,Basic,Two Year,Too expensive.,1
142.35,20,0,Pro,One Year,Great service!,0
139.32,47,6,Basic,One Year,I love it.,0
146.0,7,5,Basic,Month-to-Month,Support is slow.,1
141.47,11,3,Enterprise,Month-to-Month,Keeps crashing.,1
117.23,15,5,Enterprise,One Year,Horrible experience.,1
88.28,72,2,Pro,Two Year,I love it.,0
27.02,21,4,Basic,One Year,Too expensive.,1
70.78,5,5,Enterprise,Month-to-Month,Horrible experience.,1
100.16,38,1,Pro,One Year,I love it.,0
54.38,60,5,Pro,Month-to-Month,I love it.,0
24.33,23,5,Pro,One Year,Too expensive.,1
53.68,51,9,Pro,One Year,Horrible experience.,1
125.18,19,4,Pro,Month-to-Month,Too expensive.,1
100.03,72,9,Basic,Two Year,Great service!,0
138.02,56,3,Pro,Month-to-Month,Great service!,0
44.93,68,5,Enterprise,Month-to-Month,Support is slow.,1
60.65,62,3,Enterprise,One Year,I love it.,0
35.26,12,8,Pro,Two Year,Keeps crashing.,1
95.68,4,2,Basic,Two Year,Keeps crashing.,1
48.22,60,2,Enterprise,Month-to-Month,Great service!,0
98.84,46,2,Enterprise,One Year,Excellent features.,0
99.38,3,8,Pro,One Year,Keeps crashing.,1
83.39,56,7,Pro,One Year,Great service!,0
24.06,14,3,Basic,Month-to-Month,Keeps crashing.,1
83.47,37,9,Pro,One Year,Great service!,0
50.77,72,8,Enterprise,One Year,Too expensive.,1
45.15,36,8,Enterprise,Two Year,Great service!,0
48.09,42,6,Pro,One Year,Okay value.,0
119.79,22,7,Enterprise,One Year,Too expensive.,1
132.5,27,9,Pro,Two Year,Keeps crashing.,1
20.59,22,9,Basic,One Year,Great service!,0
139.3,67,6,Basic,Two Year,Okay value.,0
125.34,45,4,Pro,One Year,Excellent features.,0
114.45,15,3,Pro,Two Year,Excellent features.,0
94.11,44,3,Enterprise,Two Year,Excellent features.,0
102.67,30,9,Enterprise,One Year,Okay value.,0
98.17,34,7,Pro,One Year,I love it.,0
112.56,1,5,Basic,One Year,Excellent features.,0
128.67,72,8,Pro,One Year,I love it.,0
116.11,58,9,Basic,Month-to-Month,Keeps crashing.,1
111.98,46,7,Enterprise,Two Year,Horrible experience.,1
64.05,72,6,Pro,Two Year,I love it.,0
45.94,45,8,Basic,Two Year,Too expensive.,1
87.33,16,7,Enterprise,One Year,Keeps crashing.,1
